CONFIG	days	10000	calibration	1	schedule	1	seed	20260828	action_bps	1200	main_base	50000	esc_hands	3	esc_cap	4294967295	dont_profit_ratio	3/4	boosted_shooters_pct	0	winnings_boost_pct	0	winnings_boost_mode	all	random_shooters_pct	15	picked_shooters_pct	5	random_goal_shooters_pct_5_20	15,15	picked_goal_shooters_pct_5_20	5,5	random_winnings_pct	0	picked_winnings_pct	0	random_winnings_jitter_pct	0	picked_winnings_jitter_pct	0	random_goal_bps_5_20	3300,4500	picked_goal_bps_5_20	2000,5000
PROPOSED_RULES	high_water_goal	1	peak_jackpot_table	25x_120x__50x_225x	customs	excluded_legacy_product
DONT_PASS	profit_ratio	3/4	random_ticket_edge_pct_5_20	11.897058,11.231526	picked_ticket_edge_pct_5_20	13.357532,12.802922
POPULATION_HEADER	composition	heads	goal	fields	seats	engine_edge_pct	goal_seat_pct	all_bust_field_pct	random_winner_pct	picked_winner_pct	bounty_winner_pct	common_field_pct	rare_field_pct	common_per_entry_pct	rare_per_entry_pct	winner_peak_p95_x	winner_peak_p995_x	qualified_peak_p95_x	qualified_peak_p995_x	ending_p50_x	ending_p99_x	max_peak_x	max_ending_x	mean_hands	hands_p99	max_hands	mean_rolls	rolls_p99	max_rolls	mean_work_units	work_p99	max_work_units	cap_seat_pct	record_floor_x	record_hits	first_year_record_hits	final_record_x	dice_only_record_paid	dice_only_record_pool_end
POPULATION	half_random_half_bankroll_pick	2	20	200000	400000	-44.971017	2.928750	94.945500	55.026000	44.974000	0.000000	0.516000	0.053000	0.258000	0.026500	20.080000	53.910000	79.174600	342.240000	0.000000	25.400000	468385.452000	245038.766600	8.496343	19	63	72.480163	215	751	18.839200	47	138	0.000000	100	8	2	468385.452000	46544553	10609447
POPULATION	half_random_half_bankroll_pick	5	5	100000	500000	18.824533	11.777800	71.911000	68.516000	31.484000	0.000000	1.060000	0.107000	0.212000	0.021400	11.221500	42.196600	22.120000	96.047800	0.000000	8.266600	7221.398600	2961.566600	7.902108	15	45	67.244222	173	650	18.497112	41	121	0.000000	100	4	2	7221.398600	18439614	10142386
POPULATION	half_random_half_bankroll_pick	5	20	100000	500000	17.481140	2.950600	90.974000	69.294000	30.706000	0.000000	1.074000	0.116000	0.214800	0.023200	25.720000	84.868000	90.333300	374.400000	0.000000	25.533300	21074.320000	7967.133300	8.537370	19	48	72.856626	217	612	18.903004	47	115	0.000000	100	5	4	21074.320000	11323724	17258276
POPULATION	half_random_half_bankroll_pick	10	5	50000	500000	17.651200	11.987600	64.566000	65.126000	34.874000	0.000000	1.768000	0.206000	0.176800	0.020600	14.440000	62.235600	26.473300	137.329000	0.000000	8.466600	2395.807200	957.400000	7.880738	15	39	67.204920	174	499	18.503610	41	96	0.000000	100	10	7	2395.807200	8660815	5635185
POPULATION	half_random_half_bankroll_pick	10	20	50000	500000	16.814080	2.911000	87.548000	66.420000	33.580000	0.000000	1.782000	0.188000	0.178200	0.018800	31.120000	115.173300	101.718000	623.380000	0.000000	25.333300	6051.850000	3111.300000	8.484114	19	43	72.280192	215	522	18.805356	47	100	0.000000	100	8	3	6051.850000	5799052	8496948
POPULATION	half_random_half_bankroll_pick	20	5	25000	500000	18.229033	12.053400	56.068000	69.208000	30.792000	0.000000	2.676000	0.324000	0.133800	0.016200	17.992000	87.689200	30.906600	168.600000	0.000000	8.233300	2499.016000	784.133300	7.887890	15	39	67.417352	174	461	18.543022	41	89	0.000000	100	7	4	2499.016000	3569849	3584151
POPULATION	half_random_half_bankroll_pick	20	20	25000	500000	22.986893	2.789400	83.016000	70.092000	29.908000	0.000000	2.708000	0.300000	0.135400	0.015000	37.079000	156.894300	112.160000	758.620000	0.000000	25.166600	3283.180000	1587.900000	8.480474	19	42	72.242984	214	495	18.790256	47	95	0.000000	100	6	5	3283.180000	2211170	4942830
POPULATION	half_random_half_bankroll_pick	40	5	12500	500000	18.802100	12.053000	47.920000	72.248000	27.752000	0.000000	4.088000	0.456000	0.102200	0.011400	23.312400	112.397300	36.023600	183.920000	0.000000	8.200000	1698.577300	472.000000	7.890862	15	37	67.416272	172	458	18.545040	41	89	0.000000	100	4	3	1698.577300	870617	2711383
POPULATION	half_random_half_bankroll_pick	40	20	12500	500000	15.396233	3.040000	76.776000	72.712000	27.288000	0.000000	4.272000	0.472000	0.106800	0.011800	48.232000	215.088300	120.752000	698.600000	0.000000	25.566600	5588.092000	3075.900000	8.474286	19	43	72.147988	217	486	18.787496	47	94	0.000000	100	4	3	5588.092000	894639	2687361
POPULATION	half_random_half_bankroll_pick	80	5	6250	500000	17.412973	11.790800	40.384000	74.272000	25.728000	0.000000	5.520000	0.704000	0.069000	0.008800	29.372000	157.531400	44.639400	244.944000	0.000000	8.266600	8073.154600	3977.166600	7.859604	15	45	66.761964	172	542	18.419034	41	103	0.000000	100	7	7	8073.154600	554606	1241394
POPULATION	half_random_half_bankroll_pick	80	20	6250	500000	16.363273	2.999600	70.976000	75.312000	24.688000	0.000000	6.064000	0.784000	0.075800	0.009800	59.028500	288.200000	142.816600	585.240000	0.000000	25.500000	6275.722600	2388.033300	8.527384	19	45	73.138102	215	494	18.953324	47	95	0.000000	100	9	7	6275.722600	1314030	481970
POPULATION	half_random_half_bankroll_pick	160	5	3125	500000	22.383513	11.759600	32.864000	78.432000	21.568000	0.000000	7.552000	0.736000	0.047200	0.004600	34.381600	144.224000	47.640000	160.044100	0.000000	8.133300	1413.524200	586.133300	7.814790	15	37	65.947752	167	409	18.284714	40	81	0.000000	100	3	3	1413.524200	47051	856949
POPULATION	half_random_half_bankroll_pick	160	20	3125	500000	11.983093	3.242600	62.720000	77.984000	22.016000	0.000000	9.472000	1.248000	0.059200	0.007800	83.936000	575.116000	169.512000	970.054000	0.000000	25.700000	7015.680000	3111.500000	8.505430	19	44	72.785560	217	497	18.909864	47	95	0.000000	100	7	7	7015.680000	286912	617088
POPULATION	standard_mixed	1	5	200000	200000	19.657083	11.806000	88.194000	100.000000	0.000000	0.000000	0.232500	0.024000	0.232500	0.024000	6.490600	17.713100	16.255900	66.524000	0.000000	8.366600	884.756800	350.000000	8.062230	15	35	68.693810	174	425	18.741120	41	83	0.000000	100	6	0	884.756800	27104595	30049405
POPULATION	standard_mixed	1	20	200000	200000	18.401817	2.965000	97.035000	100.000000	0.000000	0.000000	0.257500	0.020000	0.257500	0.020000	12.122600	37.269300	70.394600	277.597300	0.000000	25.533300	5408.917800	1175.700000	8.707350	19	42	74.285575	217	507	19.141980	47	97	0.000000	100	4	1	5408.917800	37723575	19430425
POPULATION	standard_mixed	2	5	200000	400000	17.526925	11.947750	81.525000	54.359500	45.640500	0.000000	0.534000	0.064000	0.267000	0.032000	8.271900	28.111600	19.375200	87.393200	0.000000	8.266600	13890.900000	2618.700000	7.884767	15	46	67.234295	174	502	18.506100	41	96	0.000000	100	7	1	13890.900000	10426002	46727998
POPULATION	standard_mixed	2	20	200000	400000	18.285792	2.915250	94.960500	54.860000	45.140000	0.000000	0.512500	0.041500	0.256250	0.020750	20.048600	52.596600	77.569300	336.346600	0.000000	25.366600	21833.313300	5449.333300	8.484628	19	47	72.275635	215	631	18.804480	47	118	0.000000	100	5	4	21833.313300	31826706	25327294
POPULATION	standard_mixed	5	5	100000	500000	21.201853	11.638800	71.660000	62.914000	37.086000	0.000000	1.063000	0.084000	0.212600	0.016800	11.063300	40.629300	22.034600	84.713300	0.000000	8.233300	4202.933300	2892.200000	7.991382	15	42	68.090016	173	543	18.629812	41	103	0.000000	100	5	1	4202.933300	21069205	7512795
POPULATION	standard_mixed	5	20	100000	500000	20.438067	2.853200	90.993000	63.434000	36.566000	0.000000	1.035000	0.097000	0.207000	0.019400	25.520000	80.341600	86.588000	360.554600	0.000000	25.366600	9808.373300	5002.400000	8.611314	19	45	73.446908	217	588	18.995210	47	111	0.000000	100	10	5	9808.373300	20094322	8487678
POPULATION	standard_mixed	10	5	50000	500000	20.140587	11.693200	61.362000	51.256000	48.744000	0.000000	1.880000	0.172000	0.188000	0.017200	14.598100	62.218000	25.808000	105.512400	0.000000	8.333300	2099.076600	573.800000	8.027490	15	38	68.720800	174	535	18.739528	41	102	0.000000	100	4	2	2099.076600	2378805	11917195
POPULATION	standard_mixed	10	20	50000	500000	22.149073	2.801600	86.622000	52.368000	47.632000	0.000000	1.814000	0.174000	0.181400	0.017400	31.520000	112.720000	95.360000	475.070000	0.000000	25.366600	4671.200000	2868.933300	8.603650	19	42	73.388224	216	500	18.981760	47	96	0.000000	100	11	6	4671.200000	9208876	5087124
POPULATION	standard_mixed	20	5	25000	500000	23.349940	11.182600	53.012000	52.936000	47.064000	0.000000	2.596000	0.328000	0.129800	0.016400	18.090100	82.610000	28.584300	152.185400	0.000000	8.166600	3409.168000	3081.466600	8.013226	15	42	68.055506	171	459	18.596098	41	89	0.000000	100	7	2	3409.168000	3455153	3698847
POPULATION	standard_mixed	20	20	25000	500000	26.755800	2.705600	81.200000	52.328000	47.672000	0.000000	2.820000	0.244000	0.141000	0.012200	38.491700	152.096000	101.484000	463.380000	0.000000	25.166600	3275.306600	2053.333300	8.628514	19	42	73.773786	215	470	19.040292	47	91	0.000000	100	8	7	3275.306600	1367540	5786460
POPULATION	standard_mixed	40	5	12500	500000	21.637740	11.351000	42.768000	53.984000	46.016000	0.000000	4.008000	0.544000	0.100200	0.013600	23.080000	126.101300	35.186600	217.110000	0.000000	8.366600	3350.498700	1251.233300	8.058416	15	39	68.783592	174	508	18.727016	41	97	0.000000	100	3	3	3350.498700	128326	3453674
POPULATION	standard_mixed	40	20	12500	500000	26.781787	2.654600	75.056000	52.520000	47.480000	0.000000	4.168000	0.448000	0.104200	0.011200	47.540000	199.555000	104.213300	485.343300	0.000000	25.100000	8988.456100	5384.000000	8.598788	19	46	73.309006	215	523	18.961790	47	100	0.000000	100	7	3	8988.456100	2942731	639269
POPULATION	standard_mixed	80	5	6250	500000	26.381873	10.746200	33.792000	55.536000	44.464000	0.000000	5.152000	0.752000	0.064400	0.009400	29.017900	161.966900	38.277300	202.322400	0.000000	8.133300	2578.718600	1248.866600	8.020534	15	40	68.260058	170	507	18.604534	40	97	0.000000	100	6	6	2578.718600	547605	1248395
POPULATION	standard_mixed	80	20	6250	500000	26.599167	2.564000	67.824000	53.376000	46.624000	0.000000	6.576000	0.640000	0.082200	0.008000	61.536000	270.492600	124.320000	695.350000	0.000000	25.000000	103052.720000	13923.766600	8.605434	19	57	73.170450	215	611	18.934838	47	114	0.000000	100	7	5	103052.720000	1084627	711373
POPULATION	standard_mixed	160	5	3125	500000	25.572273	10.839800	27.776000	57.408000	42.592000	0.000000	8.352000	1.184000	0.052200	0.007400	39.110400	176.551300	48.211800	256.915300	0.000000	8.400000	5162.413200	2213.300000	8.045998	15	42	68.338948	173	474	18.628074	41	92	0.000000	100	5	5	5162.413200	196262	707738
POPULATION	standard_mixed	160	20	3125	500000	21.225693	2.825200	59.168000	55.616000	44.384000	0.000000	9.696000	1.184000	0.060600	0.007400	84.722600	491.264000	156.866600	937.109300	0.000000	25.466600	3231.786600	2904.100000	8.660380	19	42	74.171020	215	484	19.114690	47	93	0.000000	100	9	9	3231.786600	574962	329038
POPULATION	one_bounty_vs_random	1	5	200000	200000	48.784683	7.835000	92.165000	0.000000	0.000000	100.000000	0.044000	0.000500	0.044000	0.000500	5.640000	10.996000	11.913300	26.357300	0.000000	7.866600	363.968000	183.066600	8.465020	15	30	72.237380	170	360	19.093755	40	73	0.000000	100	1	0	363.968000	7363500	49790500
POPULATION	one_bounty_vs_random	1	20	200000	200000	59.920350	1.517500	98.482500	0.000000	0.000000	100.000000	0.072000	0.001500	0.072000	0.001500	7.713300	27.266600	49.380000	134.400000	0.000000	22.266600	345.686600	217.566600	8.871620	19	31	75.687335	208	371	19.288805	44	74	0.000000	100	5	0	345.686600	28255722	28898278
